relativehumidity,dewpoint,temp,precipitation,cloudcover,et0,windspeed,winddirection,soil_temp,weather
58.41666667,20.40833333,32.41666667,0.083333333,20.83333333,0.3275,11.23333333,201.0833333,31.68333333,Sun
43.91666667,16.85833333,33.0,0.0,4.666666667,0.386666667,8.058333333,213.9166667,32.76666667,Sun
46.33333333,17.95,33.84166667,0.0,13.41666667,0.3725,8.4,204.75,33.15,Sun
54.66666667,20.30833333,34.0,0.016666667,14.66666667,0.3175,7.825,197.1666667,32.86666667,Sun
43.41666667,17.11666667,32.89166667,0.0,6.166666667,0.394166667,11.09166667,193.6666667,32.96666667,Sun
44.08333333,17.65,33.5,0.0,5.75,0.419166667,12.33333333,193.1666667,33.35,Sun
43.91666667,17.45833333,33.01666667,0.0,7.583333333,0.4225,13.275,187.0833333,33.25,Sun
39.91666667,16.69166667,33.81666667,0.0,19.25,0.436666667,11.525,195.4166667,33.75,Sun
42.16666667,17.29166667,34.075,0.0,3.333333333,0.446666667,12.56666667,194.3333333,34.03333333,Sun
35.16666667,15.05,33.86666667,0.0,0.25,0.454166667,10.79166667,199.5833333,34.35,Sun
36.41666667,15.66666667,34.875,0.0,0.083333333,0.451666667,10.15833333,201.0833333,34.75,Sun
33.75,15.39166667,35.43333333,0.0,0.5,0.431666667,8.866666667,218.4166667,35.05833333,Sun
31.91666667,14.90833333,36.13333333,0.0,1.666666667,0.414166667,6.041666667,215.3333333,35.7,Sun
37.58333333,16.55,35.25,0.0,7.333333333,0.386666667,6.425,222.6666667,35.19166667,Sun
43.66666667,18.76666667,35.525,0.0,14.16666667,0.415833333,11.85,191.75,35.375,Sun
43.66666667,18.68333333,35.125,0.0,13.75,0.460833333,15.0,198.5833333,35.39166667,Sun
35.66666667,15.49166667,34.49166667,0.0,5.75,0.466666667,12.31666667,209.5,35.63333333,Sun
34.83333333,14.90833333,33.61666667,0.0,10.83333333,0.49,14.7,205.25,35.44166667,Sun
23.83333333,9.066666667,32.06666667,0.0,0.333333333,0.485833333,10.95833333,203.8333333,35.24166667,Sun
27.75,11.68333333,32.83333333,0.0,4.083333333,0.456666667,10.79166667,196.4166667,34.85833333,Sun
39.25,16.725,34.825,0.0,10.33333333,0.4725,13.45,198.75,35.425,Sun
37.25,16.36666667,35.125,0.0,11.91666667,0.429166667,10.43333333,200.4166667,35.68333333,Sun
36.83333333,16.36666667,34.53333333,0.0,9.666666667,0.465833333,13.58333333,206.5,35.69166667,Sun
45.25,18.64166667,34.5,0.008333333,16.58333333,0.423333333,11.81666667,209.5,35.35833333,Sun
48.16666667,18.70833333,33.70833333,0.008333333,16.83333333,0.420833333,14.175,193.5,34.8,Sun
45.5,17.86666667,33.10833333,0.041666667,9.833333333,0.436666667,15.31666667,181.0,34.375,Rain
58.16666667,20.4,32.94166667,0.141666667,22.0,0.3675,12.75,181.9166667,33.55833333,Sun
41.58333333,16.3,32.75,0.0,9.5,0.453333333,13.30833333,186.5833333,33.85833333,Sun
48.83333333,18.08333333,32.30833333,0.016666667,20.33333333,0.378333333,11.975,181.8333333,33.20833333,Sun
55.83333333,20.21666667,33.06666667,0.05,23.0,0.3825,13.025,191.9166667,33.16666667,Sun
45.0,18.14166667,33.38333333,0.008333333,18.91666667,0.400833333,13.04166667,199.0,33.80833333,Sun
36.75,15.425,33.59166667,0.0,3.0,0.4625,13.95,192.5833333,34.725,Sun
38.0,16.15833333,33.59166667,0.0,9.333333333,0.445,13.96666667,177.5,34.66666667,Sun
